Timestamp,Voltage (V),Raw Value
2024-05-19 00:04:34,2.61,20742
2024-05-19 00:04:35,2.61,20746
2024-05-19 00:04:36,2.61,20808
2024-05-19 00:04:37,2.61,20806
2024-05-19 00:04:38,2.60,20830
2024-05-19 00:04:39,2.60,20828
2024-05-19 00:04:40,2.61,20782
2024-05-19 00:04:41,2.60,20772
2024-05-19 00:04:42,2.48,19853
2024-05-19 00:04:43,2.59,20676
2024-05-19 00:04:44,2.60,20788
2024-05-19 00:04:45,2.61,20766
2024-05-19 00:04:46,2.42,19239
2024-05-19 00:04:47,2.26,18068
2024-05-19 00:04:49,2.17,17363
2024-05-19 00:04:50,2.13,16978
2024-05-19 00:04:51,1.99,16227
2024-05-19 00:04:52,1.79,14356
2024-05-19 00:04:53,1.98,15790
2024-05-19 00:04:54,1.90,15191
2024-05-19 00:04:55,1.90,15169
2024-05-19 00:04:56,1.90,15149
2024-05-19 00:04:57,1.90,15179
2024-05-19 00:04:58,1.90,15208
2024-05-19 00:04:59,1.90,15153
2024-05-19 00:05:00,1.90,15145
2024-05-19 00:05:01,1.90,15151
2024-05-19 00:05:02,1.90,15179
2024-05-19 00:05:03,1.89,15178
2024-05-19 00:05:04,1.84,14772
2024-05-19 00:05:05,1.85,14772
2024-05-19 00:05:06,1.86,14798
2024-05-19 00:05:07,1.85,14823
2024-05-19 00:05:08,1.85,14841
2024-05-19 00:05:09,1.85,14856
2024-05-19 00:05:10,2.24,17995
2024-05-19 00:05:11,2.19,17441
2024-05-19 00:05:12,2.23,17797
2024-05-19 00:05:13,2.21,17643
2024-05-19 00:05:14,1.81,14504
2024-05-19 00:05:15,2.34,18494
2024-05-19 00:05:16,1.96,15492
2024-05-19 00:05:17,2.15,17182
2024-05-19 00:05:18,2.05,16265
2024-05-19 00:05:19,2.36,18895
2024-05-19 00:05:20,2.33,18601
2024-05-19 00:05:21,2.32,18531
2024-05-19 00:05:22,2.27,18235
2024-05-19 00:05:23,2.09,16490
2024-05-19 00:05:24,1.73,13770
2024-05-19 00:05:25,1.63,13049
2024-05-19 00:05:26,1.63,13033
2024-05-19 00:05:27,1.63,12994
2024-05-19 00:05:28,1.63,13059
2024-05-19 00:05:29,1.63,13036
2024-05-19 00:05:30,1.64,13002
2024-05-19 00:05:31,1.63,13067
2024-05-19 00:05:32,1.63,13031
2024-05-19 00:05:33,1.63,12999
2024-05-19 00:05:34,1.63,13059
2024-05-19 00:05:36,1.63,13040
2024-05-19 00:05:37,1.63,12996
2024-05-19 00:05:38,1.63,13045
2024-05-19 00:05:39,1.63,13045
2024-05-19 00:05:40,1.63,12982
